amt,distance,txn_velocity,age,hour,is_online,is_international,card_present
51.636987639301026,3.5500450093594695,2,40,3,0,0,1
180.5209446970929,43.70218258619384,5,34,5,0,0,1
24.517616619552996,26.782236755769272,3,66,13,0,1,1
13.882117090637916,24.7911783484426,3,32,20,0,0,1
18.224539718823095,7.050690002776998,5,36,18,0,0,1
40.53193085187995,24.92469810468094,2,58,1,0,0,1
111.1872741608754,25.016485595605204,2,61,23,0,0,1
121.73062338609603,43.26488207697311,2,55,18,1,0,0
325.7688359193577,13.263484137135517,3,27,12,1,0,0
126.76989883080174,0.6289451931742159,2,41,19,1,0,0
14.488865778077582,5.82792278332898,4,40,20,1,0,0
28.799967796747442,2.125715704324478,2,28,11,0,0,1
28.84253719098089,23.60004941351381,4,23,1,1,0,0
58.77866470049917,2.1615964007446578,2,34,15,1,0,0
44.28363204381116,2.989617615328826,4,39,3,1,1,0
12.569140277860875,38.984390364375585,4,28,18,0,0,1
53.94130006114986,3.603387783629562,2,59,4,0,0,1
49.22853092680076,1.7367501478467124,2,55,13,1,0,0
39.87632044441858,8.03358997926535,3,60,9,0,0,1
190.47697240623938,20.20400168120323,2,71,8,1,0,0
26.50819267710223,30.982728946116783,5,39,20,1,0,0
2754.75380927293,3.007191478470005,6,18,18,1,0,0
25.38072071098677,24.049568755646575,3,53,16,1,0,0
50.591077947833995,25.165031493002857,1,30,12,1,0,0
28.638888736064246,23.128934876867756,2,36,19,0,0,0
39.943222022131664,11.19397865978062,3,57,9,1,0,0
40.34950506051217,12.662056841695579,3,42,9,1,0,0
14.965041240867848,4.555248852939477,4,38,23,0,0,1
51.294336996842176,16.11012302973772,2,41,1,1,0,0
66.17510005790515,10.077019019402599,1,50,5,0,0,1
57.47149573236426,4.6099394568366305,3,74,3,0,0,1
140.33874738822564,1.843451845360872,2,19,12,1,0,0
49.93197845338955,28.616870463714037,2,78,5,1,0,0
15.908160615652454,5.320318227275963,2,45,22,0,0,0
51.193586253983355,0.3777471315375626,3,59,23,1,0,0
107.47671186276143,3.9558145633006827,3,24,19,0,0,1
186.52987227779462,3.5301645177346144,1,33,2,0,0,1
56.814507285370766,1.3717414608294778,7,84,1,0,0,1
136.21142609459417,24.930664189777495,3,40,12,1,0,0
49.7799291048961,11.43799197658411,4,71,22,0,0,1
244.6324343630331,40.42355034297356,3,42,0,1,0,0
58.26648499497692,6.610372522580106,2,57,4,1,0,0
17.16624054886565,36.69973094521748,4,29,22,1,0,0
47.409585866263775,8.704779034514795,2,35,8,1,0,0
12.853830985384512,2.1397272252632793,1,36,13,1,0,0
17.02115042863789,0.3021697771307857,3,51,23,1,0,0
27.15815421855106,6.196654056966451,3,49,17,1,0,0
102.27995414367507,15.270675476290922,4,31,19,0,0,1
31.691390110484964,12.098225378580793,4,41,18,0,0,1
16.177415106868796,0.29304532492909496,3,37,3,1,0,0
131.7701522902138,29.513075431964648,3,45,9,1,0,0
1090.3049508527336,15.54491945626149,6,23,15,1,0,0
51.202102899514955,1.5590451928760791,6,19,12,1,0,0
18.935871137476866,11.58893033624213,2,47,15,1,0,0
372.64883116259404,4.346310344926078,4,46,3,1,0,0
57.19881499856011,23.586421021701927,3,63,15,1,0,0
58.947210979246925,4.877031182943027,1,51,5,0,0,1
17.072812478312816,18.462531335893036,2,32,11,1,0,0
117.15745424827362,21.28965370358405,4,56,3,1,0,0
17.099518456669017,3.815341277378116,1,38,2,0,0,1
70.69781117942546,21.834114866628934,5,57,8,0,0,1
21.231003541670084,13.350940597409895,3,53,20,1,0,0
64.50707400512988,0.535746408323366,2,53,14,1,0,0
17.356819407616413,57.7996987118091,1,49,3,1,0,0
67.27273770876883,55.680635265975326,7,45,20,0,0,1
32.60199616125297,4.5438614363810315,3,56,20,1,0,0
14.214859017466498,5.490545077662081,4,27,18,0,0,1
98.9475655893808,5.070553145754756,1,41,0,1,0,0
162.18299810885586,19.300450618711917,6,28,15,0,0,1
99.64015561590233,9.315415156268587,5,24,18,1,0,0
18.86129864931442,5.256885037682671,1,57,20,0,0,1
81.23698905864843,11.448290889766803,5,44,17,1,0,0
35.774056948698636,24.19216782486096,5,35,22,0,0,1
15.373052263834477,38.228439062893635,4,36,14,1,0,0
49.682659390709524,7.202300929754012,4,37,7,1,0,0
17.968589398275324,20.8288116491762,3,52,1,1,0,0
20.67117212603844,11.790003685863297,4,57,13,1,0,0
15.309439703720889,5.589489931380911,3,61,0,1,0,0
175.502872324118,8.495410350821142,1,36,18,0,0,1
27.280359347595017,13.20642318039049,6,56,6,1,0,0
84.01330414561654,29.582861516718253,2,62,14,1,0,0
28.174485563961415,47.06020566551356,5,37,4,1,0,0
3414.7809727064423,38.06174931422227,2,57,1,1,0,0
36.40084775938674,4.692118133986311,7,67,22,0,0,1
63.84928459528449,24.47914011622575,4,39,3,1,0,0
99.23092784025985,6.523451724787879,2,62,11,1,0,0
34.22518744377325,2.6465305757246713,7,18,0,0,0,0
27.78825760554905,4.89189971457659,4,29,5,1,0,0
114.4901899124291,7.919861287801226,3,32,14,1,0,0
43.830932241988556,12.55397141024797,4,56,0,0,0,0
40.3517815944801,36.95366477080696,3,51,10,1,0,0
31.084881383938335,44.92187107346759,6,52,14,0,0,1
48.5716843119075,4.771314191945178,8,32,6,1,0,0
107.62030186940295,25.975535288958778,3,59,7,0,1,1
41.72742502190062,19.18437368733484,2,64,9,0,1,1
69.2783023277246,30.019766641124164,3,18,6,0,0,1
93.77300657272866,6.441480521201817,5,55,9,0,0,1
103.34960895101904,7.932184859712059,2,33,7,1,0,0
12.662982956791968,2.5399241642831067,6,40,9,1,0,0
117.6196628625072,15.724286704863925,4,61,0,1,0,0
19.634299080185137,4.762748498889051,3,66,14,1,0,0
104.384858491875,5.199842153671149,2,58,21,1,0,0
42.5021503955868,39.613458439304125,2,18,15,1,0,0
22.535255870277794,11.599063171051583,3,37,16,1,0,0
190.38675273436613,42.98771540580708,4,45,22,1,0,0
57.76525517487384,3.4643319698546744,2,53,16,1,0,0
105.57886349863844,17.636849973530257,4,58,0,1,0,0
34.24901252142987,8.127331066192117,3,25,14,1,0,0
11.103393270834022,6.5917293283065455,3,35,8,0,0,0
38.95360939658961,11.552779837217626,4,61,21,1,0,0
59.92264622057083,0.5026263182090144,3,18,0,0,0,1
99.40697198389901,24.31847612139832,3,73,7,0,0,0
107.3636433650795,5.751271635309743,5,33,17,0,0,1
97.91698541237565,2.875321618696398,1,48,16,1,0,0
16.596235002439325,29.103332010225987,1,38,6,1,0,0
40.99883883928702,629.2262822569355,4,52,7,1,1,0
108.21781028412055,12.889337313928108,2,34,11,1,0,0
73.02381035947718,35.2380370158755,3,50,12,0,0,1
13.43267923289241,1.0316217046042366,3,35,18,0,0,1
10.035887060290774,11.767380044929835,2,53,13,1,0,0
57.17924659877738,3.7102602319096785,4,40,23,1,0,0
32.601770563939844,7.692609637526753,4,54,19,0,0,1
51.77106265307195,4.0714918475726005,3,42,9,0,0,1
100.95033090093997,0.2804501863145414,2,90,23,1,0,0
12.351047004625363,6.7779294634213345,6,41,14,0,0,1
12.408304984562934,7.505476870501612,3,46,8,0,0,1
90.50162522712826,30.9153761345085,3,45,9,0,0,1
166.53243757388654,25.97009011434403,1,62,19,1,0,0
104.43211806735546,25.664039068486385,2,65,7,0,0,1
1285.8885679566615,2.601797745816602,2,19,5,1,0,0
52.44202597351793,12.124407814734191,4,29,16,1,0,0
88.75308180763045,2.529960047133558,4,39,6,1,0,0
13.37725250008192,9.507612430691033,2,61,14,1,0,0
100.90568705958727,1.7758451597302836,2,74,7,0,0,1
174.87353079271287,32.600013785998264,2,46,20,1,0,0
4016.6921965535653,12.806350236688717,3,28,23,1,0,0
21.696014213489363,7.08892554065152,2,50,2,0,0,1
195.48957938370535,11.268542963740948,4,42,21,1,0,0
252.31852996095523,0.7099236024273012,4,18,10,1,0,0
53.917307295089536,17.203763680670274,4,34,12,1,0,0
326.8029861429824,2.2310621858729345,2,56,18,0,0,1
11.33879487545456,21.301632371063032,3,18,19,0,0,1
14.560785295323234,3.8827508476093726,3,75,5,0,1,1
203.33630166689193,5.8797934357528625,4,37,13,1,0,0
186.3505318305521,8.379583998957285,5,70,6,1,0,0
51.905413688057756,10.036083404551555,2,43,21,1,0,0
26.45627309848812,26.153778557848252,2,36,17,1,0,0
14.902273327289867,13.821973755532444,3,44,6,1,0,0
125.36059613616868,43.63832585530802,3,24,9,0,0,1
41.89025031295971,10.374524466541551,2,35,7,1,0,0
70.16835901446115,8.952724777153785,5,45,23,1,0,0
171.9629178972577,2.0439633463092557,2,36,3,1,0,0
101.7161274157482,15.749173255571641,1,22,21,1,0,0
107.65719306721648,35.90222930194723,4,48,0,0,0,1
61.26562865192018,2.294456737534333,3,65,8,1,0,0
123.60616920226529,4.0404530579637425,5,29,20,1,0,0
57.99858769107979,30.84959102626782,1,45,12,0,0,1
36.35118024819303,3.6787217766987705,6,41,6,1,0,0
13.928335526351493,37.22781375076017,4,43,11,1,0,0
26.717170984686838,9.19840680275655,1,45,17,1,0,0
18.221105444020427,39.782522223371,3,29,20,1,0,0
71.58883964026673,4.074422785000269,5,49,8,0,0,1
222.74060426578228,40.77130935826807,2,46,3,1,1,0
48.67288958706007,1.2342716310584456,2,43,1,1,0,0
76.1726067042757,9.552533202739806,4,33,5,1,0,0
74.45599416309257,10.223154808603375,6,68,20,0,0,1
27.33830713368219,16.542917597182775,3,55,23,0,0,1
258.42382221047853,6.281223487616622,4,28,9,0,0,1
72.5579755844651,28.196919601257978,3,18,19,1,0,0
16.413227323261818,1.9358679780354513,2,27,2,1,1,0
122.29657383395033,25.41635569425299,5,34,5,0,0,1
42.13006687219641,4.247139439623134,1,50,4,0,0,1
74.78202460201076,22.50797813463473,5,49,5,0,0,1
76.80647701114613,0.9584926521793922,2,78,0,1,0,0
14.619693885407498,15.71020900856697,2,71,0,1,0,0
101.38459852151685,1.2081439023411307,3,75,7,1,0,0
19.278750253041622,41.85245983434056,1,46,4,1,0,0
62.33232593949704,3.8399213889925607,2,19,0,1,0,0
39.01180761507024,11.19232208387297,7,78,15,1,0,0
464.09871631075197,9.067697949043966,1,21,8,0,0,1
235.81702962114034,7.107162783705845,2,38,15,1,0,0
12.41132131185125,28.977501658645338,2,27,13,1,0,0
31.154292376333053,1.5721404233723948,3,38,21,0,0,1
152.16973652257758,63.808670639654174,4,52,22,0,0,1
109.1398943687726,7.364185250011435,4,43,20,1,0,0
42.41472871957214,11.925052052719172,4,48,17,1,0,0
118.46605852690375,10.868416009068568,4,18,18,0,0,1
42.150727084060556,17.641978886536826,5,60,17,1,0,0
157.05706291017,504.87124282506653,2,55,12,1,1,0
60.900021772602706,5.510541209402882,1,30,16,1,0,0
77.99523387537106,1.9210714325257403,2,19,0,1,0,0
237.14432709156137,1.8973836835226736,3,61,18,1,0,0
98.43339800328187,0.8930367174521685,5,59,16,0,0,1
59.348913586041036,8.555987346422185,2,51,12,1,0,0
13.159370138522501,9.910220663869811,3,50,15,0,0,1
11.530972057263465,2.704094628186147,1,23,10,1,0,0
119.39197438949736,4.190942561163451,4,40,3,1,0,0
14.530949773516651,5.496491654818011,2,45,11,1,0,0
88.33977452727994,11.147492105372741,2,55,7,1,0,0
113.76108217228816,0.8023626023000019,2,56,13,1,0,0
101.4033440211199,17.561719433536492,6,57,22,1,0,0
38.1573102544468,15.941501073866327,2,29,4,1,0,0
20.875094657308985,40.06117240396536,6,52,19,0,0,0
78.98714361344913,4.687360207147939,3,63,19,1,0,0
21.496253352348027,25.64580472333369,4,50,8,1,0,0
13.842671462685901,15.257795920724405,1,56,15,1,0,0
152.90484296271487,4.435438498303164,7,45,5,1,0,0
36.644104712599216,0.40600584737987366,3,33,2,1,0,0
56.59328146891568,5.730174488353935,2,51,21,1,0,0
58.82200590333747,47.86877472625755,4,43,7,1,0,0
418.3450731933569,13.332015819902871,3,32,1,1,0,0
40.60143517169728,2.5161851306704532,4,28,19,0,0,0
63.310542815454994,13.91729233490996,5,37,20,1,0,0
12.825662617151231,51.169337339187635,2,46,22,1,0,0
12.960417594397322,8.961532913822614,6,41,18,0,0,1
